"RMSE" "Rsquared" "MAE" "Resample"
"1" 160.279421161389 0.357666399056155 134.028148148148 "Fold04.Rep02"
"2" 144.217934265375 0.338493689299936 119.377751666667 "Fold03.Rep02"
"3" 149.295134908513 0.129043219692784 122.754753703704 "Fold05.Rep02"
"4" 147.536623558965 0.479291764165359 124.541668333333 "Fold01.Rep02"
"5" 141.682059083425 0.295046385814386 109.961268333333 "Fold10.Rep01"
"6" 132.16349696825 0.3120652603393 102.129835 "Fold06.Rep02"
"7" 177.789016407416 0.0784403678904773 138.551363333333 "Fold02.Rep02"
"8" 122.97335111362 0.233886373687826 98.1153859649122 "Fold08.Rep01"
"9" 172.217595969311 0.238630247581656 128.588590740741 "Fold07.Rep02"
"10" 185.53524304313 0.0830021450074011 150.224940740741 "Fold04.Rep01"
"11" 169.718779505227 0.404097187768521 125.967790196078 "Fold09.Rep01"
"12" 170.429023255811 0.376098361177636 127.2016 "Fold08.Rep02"
"13" 135.544519254352 0.278016179332075 108.535775 "Fold05.Rep01"
"14" 157.340408054205 0.0219952923667118 123.360157894737 "Fold01.Rep01"
"15" 164.536017822096 0.0163216314859109 142.752392982456 "Fold09.Rep02"
"16" 141.202985750745 0.368905167715291 124.664485 "Fold06.Rep01"
"17" 170.595457011856 0.320301126004602 137.628777777778 "Fold02.Rep01"
"18" 156.965817805711 0.0761395550107051 115.050043137255 "Fold10.Rep02"
"19" 159.167408116728 0.165949917209133 122.090433333333 "Fold07.Rep01"
"20" 164.846514589395 0.0751939855461265 135.260270175439 "Fold03.Rep01"
"21" 134.135511914072 0.387141734202495 106.777762962963 "Fold01.Rep03"
"22" 153.862632917458 0.243650348318241 128.333801960784 "Fold08.Rep05"
"23" 154.690832510911 0.418427083109397 125.237718333333 "Fold05.Rep04"
"24" 169.115032927095 0.00778659085818687 135.661550877193 "Fold02.Rep03"
"25" 130.726226081897 0.547742791813568 95.9682462962964 "Fold09.Rep05"
"26" 142.187776691974 0.206651560004773 109.299645614035 "Fold06.Rep04"
"27" 151.596498521628 0.437473203233055 123.154754385965 "Fold03.Rep03"
"28" 178.996269877911 0.0856288037874356 147.04120877193 "Fold10.Rep05"
"29" 157.937794064761 0.0696006038914998 133.176555555555 "Fold07.Rep04"
"30" 151.798665023267 0.158234205082389 123.927233333333 "Fold04.Rep03"
"31" 135.07936579245 0.503707087408374 101.006379166667 "Fold01.Rep06"
"32" 180.350256966364 0.138351739890892 145.28280877193 "Fold08.Rep04"
"33" 163.278273629019 0.17503731090096 126.335670175439 "Fold05.Rep03"
"34" 155.82054050609 0.185603496086445 125.386880701755 "Fold02.Rep06"
"35" 128.30007707374 0.475917192223041 100.292388333334 "Fold09.Rep04"
"36" 143.793066152383 0.634504864618065 124.898853703703 "Fold06.Rep03"
"37" 140.947762427255 0.263186457551205 111.489788888889 "Fold03.Rep06"
"38" 155.72094618133 0.39221354893902 123.909425925926 "Fold10.Rep04"
"39" 168.364989282657 0.290737557182506 140.837790740741 "Fold07.Rep03"
"40" 190.510218356483 0.0440886232460168 153.771473684211 "Fold04.Rep06"
"41" 181.397148664987 0.199585743970405 140.8954 "Fold01.Rep05"
"42" 162.861754623888 0.0207982250590034 122.940153703704 "Fold08.Rep03"
"43" 179.544566360597 0.185421890825483 143.456698148148 "Fold05.Rep06"
"44" 161.825770763661 0.136069418266272 125.619651851852 "Fold02.Rep05"
"45" 131.06861645285 0.229462866431587 102.319778333333 "Fold09.Rep03"
"46" 184.88488850375 0.372444415362209 150.451952631579 "Fold06.Rep06"
"47" 128.060780620637 0.182914074148193 112.007501754386 "Fold03.Rep05"
"48" 182.322272155481 0.0855362443676728 140.03339 "Fold10.Rep03"
"49" 145.763123049401 0.270617787861535 121.055540350877 "Fold07.Rep06"
"50" 154.841605004364 0.093990697122274 105.621536666667 "Fold04.Rep05"
"51" 166.595210607142 0.0919633301992328 123.906078333333 "Fold01.Rep04"
"52" 108.62132709865 0.425039229355461 87.1955399999997 "Fold08.Rep06"
"53" 146.306095610475 0.137265445716726 123.287080701754 "Fold05.Rep05"
"54" 193.657309996307 0.00416416534500465 144.546733333333 "Fold02.Rep04"
"55" 155.209129279358 0.195942163359537 136.794173333333 "Fold09.Rep06"
"56" 156.473671980465 0.422240595364601 129.048070175439 "Fold06.Rep05"
"57" 146.906743888305 0.490627080110392 129.896860784314 "Fold03.Rep04"
"58" 146.866111496521 0.263025576545716 114.445655 "Fold10.Rep06"
"59" 147.56509202565 0.167015389888581 123.354568421053 "Fold07.Rep05"
"60" 110.661902416457 0.357753827425552 96.1648859649122 "Fold04.Rep04"
"61" 142.597421582448 0.361727155500061 123.728073684211 "Fold01.Rep07"
"62" 164.856520089041 0.364067055290048 132.436126666667 "Fold08.Rep09"
"63" 184.341872941237 0.0385189096165476 156.976933333333 "Fold05.Rep08"
"64" 181.376738057617 0.0586842598611177 138.274112962963 "Fold02.Rep07"
"65" 164.416896883924 0.204855734085759 115.741178431372 "Fold09.Rep09"
"66" 165.360298385082 0.529983901575975 129.963633333333 "Fold06.Rep08"
"67" 162.077920717308 0.273159935810711 129.362170175439 "Fold03.Rep07"
"68" 190.630829539786 0.0588639912685947 155.897018333333 "Fold10.Rep09"
"69" 155.123497674106 0.173301510615838 129.780476666666 "Fold07.Rep08"
"70" 169.017866391088 0.140528972426341 144.706586666667 "Fold04.Rep07"
"71" 144.679850930377 0.392230557676569 114.853703703704 "Fold01.Rep10"
"72" 137.467362032361 0.166827812175634 109.181916666667 "Fold08.Rep08"
