name	dMPALA_sv1	dMPASA_sv1	dMPALN_sv1	dMPASN_sv1	dMPAR_sv1	dA_sv1	dBPC_sv1	dBPR_sv1	dBPAR_sv1	dCL_sv1	dCi_sv1	dCMBD_sv1	dCMX_sv1	dCMY_sv1	dCo_sv1	dCHA_sv1	dCHC_sv1	dE_sv1	dOEX_sv1	dOEY_sv1	dMECD_sv1	dMARA_sv1	dOSA_sv1	dR_sv1	dSC_sv1	dAZRM_sv1	dNZRM_sv1	dMPALA_sv2	dMPASA_sv2	dMPALN_sv2	dMPASN_sv2	dMPAR_sv2	dA_sv2	dBPC_sv2	dBPR_sv2	dBPAR_sv2	dCL_sv2	dCi_sv2	dCMBD_sv2	dCMX_sv2	dCMY_sv2	dCo_sv2	dCHA_sv2	dCHC_sv2	dE_sv2	dOEX_sv2	dOEY_sv2	dMECD_sv2	dMARA_sv2	dOSA_sv2	dR_sv2	dSC_sv2	dAZRM_sv2	dNZRM_sv2	dMPALAt	dMPASAt	dMPALNt	dMPASNt	dMPARt	dAt	dBPCt	dBPRt	dBPARt	dCLt	dCit	dCMBDt	dCMXt	dCMYt	dCot	dCHAt	dCHCt	dEt	dOEXt	dOEYt	dMECDt	dMARAt	dOSAt	dRt	dSCt	dAZRMt	dNZRMt	PH
499	7106780000	2245090000	0.658365	0.207983	3.16547	103897	12631	1535.58	0.121572	1070.21	78687.3	0.610881	1304.39	1258.01	0.169614	612550	2968.17	0.270257	840	946	1114.33	792212	103897	59594.5	10	9351870000	0.866348	8314210000	3066170000	0.568548	0.209673	2.7116	120928	12962	1389.37	0.107188	1056.26	36371.5	18.9701	1274.96	1222.56	0.185372	652355	3014.86	0.212658	852	956	1081.46	764397	120928	10939.5	4	11380400000	0.77822	18531800000	4333470000	0.403143	0.094271	4.27643	214402	9577	427.789	0.0446684	1167.71	49583.6	0.451235	1343.36	1045.73	0.363668	589554	3114.29	0.385586	1023	1090	1222.84	712012	214402	11466.9	7	22865300000	0.497414	1030
505	9382410000	6342560000	0.728603	0.49254	1.47928	113478	13553	1618.67	0.119433	1278.24	115157	-1.32002	1299.31	1226.89	0.121364	935018	3576.9	0.0373701	1164	1015	1300.57	1179280	113478	116860	12	15725000000	1.22114	7794910000	3542540000	0.632424	0.287417	2.20037	111020	11369	1164.24	0.102405	1130.71	109483	-12.9497	1227.22	1192.17	0.162135	684738	3128.87	0.14068	803	1006	1166.08	806010	111020	107968	13	11337400000	0.919841	38742800000	2105110000	0.863604	0.0469244	18.4042	211806	10187	489.953	0.0480959	1598.46	57490.9	-41.6854	1384.73	1114.68	0.33775	627109	3612.52	0.804482	905	1476	1646.02	897417	211806	15604.9	9	40847900000	0.910528	1088
511	6185090000	592302000	0.781146	0.0748047	10.4425	88983	7007	551.769	0.0787454	1099.16	45315.3	4.66567	1353.24	1275.24	0.241575	368345	2674.14	0.680976	642	1006	1131.58	413833	88983	23077.1	8	6777400000	0.855951	8622540000	6722210000	0.701201	0.546662	1.2827	110891	16839	2557.03	0.151852	1411.08	75799.7	-2.53652	1257.51	1234.63	0.101392	1093690	3869.24	0.0153371	1375	1017	1457.46	1361190	110891	51812.9	6	15344700000	1.24786	29332100000	3549760000	0.771295	0.0933418	8.26313	195012	12982	864.215	0.0665703	1678.23	1623.14	2.67947	1306.32	984.882	0.23578	827092	3958.38	0.614798	1676	904	1728.57	1278920	195012	13.5099	7	32881900000	0.864637	1004
517	14223500000	675089000	0.93876	0.0445562	21.0691	123091	8601	600.996	0.0698751	1312.26	20223.7	7.86515	1414.03	1049.12	0.333212	369408	2941.11	0.826964	340	1305	1351.51	440927	123091	3322.73	4	14898600000	0.983316	15809300000	7455470000	0.67031	0.316111	2.12049	153574	16483	1769.11	0.107329	1444.53	166.367	18.8908	1252.97	1013.36	0.126846	1210710	4078.74	0.128935	1225	1284	1493.63	1532850	153574	0.180227	6	23264700000	0.986421	36020200000	1591360000	0.795767	0.0351568	22.6348	212755	7968	298.414	0.0374515	1609.22	50841.7	-14.6785	1341.81	880.96	0.438244	485472	3441.59	0.837919	1601	454	1656.95	709332	212755	12149.5	9	37611500000	0.830924	1250
523	9701320000	8634970000	0.265569	0.236378	1.12349	191129	14817	1148.67	0.0775236	970.339	30198.6	23.8498	1292.84	1309.51	0.292472	653496	2942.83	0.00338203	947	941	1018.46	803725	191129	4771.4	3	18336300000	0.501948	9304460000	7750440000	0.314539	0.262005	1.20051	171992	16432	1569.9	0.0955393	1000.28	267.426	6.90259	1215.45	1310.56	0.26204	656358	2961.58	0.00830262	883	941	1035.2	817458	171992	0.415815	5	17054900000	0.576545	33427700000	2652300000	0.539096	0.0427742	12.6033	249012	9336	350.027	0.0374922	1460.18	29451.3	-14.41	1370.91	1168.77	0.496368	501668	3285.18	0.72757	1056	1118	1484.88	685248	249012	3483.28	5	36080000000	0.581871	1004
529	1823420000	384928000	0.874073	0.184519	4.73703	45674	6953	1058.46	0.152231	766.648	44739.3	-28.5075	1352.02	1396.26	0.160513	284551	2039.34	0.424306	570	737	789.188	362686	45674	43823.8	9	2208350000	1.05859	2158880000	1775750000	0.764716	0.629004	1.21576	53133	10257	1980.05	0.193044	995.085	57530.5	1.96608	1332.09	1391.48	0.103606	512839	2673.51	0.00948163	967	742	1022.09	690063	53133	62291.9	7	3934630000	1.39372	7098240000	929547000	0.637332	0.0834616	7.63623	105534	7089	476.187	0.0671727	1164.35	11131.6	-9.17227	1252.29	983.123	0.28384	371808	2667.17	0.590466	1106	647	1198.63	579889	105534	1174.16	2	8027790000	0.720794	1013
535	10456900000	8242550000	0.797461	0.62859	1.26865	114511	17333	2623.62	0.151365	1329.93	99349.1	3.19528	1279.02	1225.85	0.111755	1024660	3748.88	0.0140231	1234	1066	1357.23	1302820	114511	86194.8	8	18699500000	1.42605	9662120000	2344350000	0.579686	0.140651	4.12145	129104	12595	1228.73	0.097557	1079.92	101203	26.0864	1258.84	1202.4	0.271521	475485	2775.98	0.371473	634	1042	1099.42	653196	129104	79331.3	13	12006500000	0.720337	41400600000	4611100000	0.567821	0.0632426	8.97846	270021	11837	518.903	0.0438373	1601.91	5	0.552597	1288.45	1100.31	0.326922	825950	3856.95	0.639309	704	1594	1647.67	1036760	270021	9.26E-05	5	46011700000	0.631063	1221
538	9715340000	3608320000	0.565292	0.209952	2.69248	131097	12251	1144.85	0.0934499	1290.21	35	-46.2063	1418.58	1244.84	0.205858	636832	3274.26	0.210093	793	1156	1328.92	866247	131097	0.00934423	5	13323700000	0.775244	14675400000	11539900000	0.570444	0.448568	1.2717	160394	21112	2778.89	0.131626	1424.24	185126	-26.1955	1260.86	1217.89	0.137534	1166210	3996.09	0.0143049	1354	1128	1466.88	1438900	160394	213671	12	26215300000	1.01901	46051200000	3995660000	0.835162	0.0724633	11.5253	234820	9754	405.164	0.0415382	1698.52	74250.4	-64.1245	1201.44	931.877	0.271885	863675	4044.85	0.706143	1657	1035	1745.3	1254020	234820	23478.1	10	50046900000	0.907626	1153
544	9015810000	1608180000	0.48362	0.0862651	5.60621	136537	11000	886.207	0.0805643	1070.62	44063.2	1.15175	1354.85	1217.11	0.322258	423689	2632.99	0.486164	510	1022	1081.72	516665	136537	14220	5	10624000000	0.569885	9317240000	5751310000	0.541533	0.334276	1.62002	131169	18039	2480.81	0.137525	1197.09	86894.7	15.092	1261.54	1210.97	0.152955	857568	3465.69	0.0560018	1033	1020	1251.23	1038620	131169	57564.6	7	15068600000	0.875809	24084900000	848565000	0.675923	0.0238143	28.3831	188766	5693	171.695	0.030159	1376.27	13282.6	-6.33216	1257.99	990.668	0.565442	333838	3009.26	0.8685	1310	642	1417.55	436152	188766	934.642	3	24933500000	0.699737	1391
550	7904570000	1579650000	0.68724	0.137338	5.00401	107247	9865	907.421	0.0919839	1133.36	29268.1	-34.3211	1425.45	1247	0.210101	510454	2986.85	0.444742	622	1107	1183.76	612384	107247	7987.39	4	9484220000	0.824577	10275900000	5330400000	0.510048	0.264576	1.9278	141940	12302	1066.22	0.0866704	1186.04	20552	19.4983	1270.12	1235.84	0.189108	750578	3226.65	0.100421	989	1103	1209.86	946458	141940	2975.79	2	15606300000	0.774623	15520600000	6009090000	0.303524	0.117515	2.58286	226130	9138	369.27	0.0404104	1126.71	91443	9.11177	1297.29	815.33	0.378708	597109	2957.69	0.195175	1119	867	1159.06	762340	226130	36977.9	16	21529700000	0.421038	923
