"Overall"
"dMPALA_sv1"	81365.3622602318
"dMPASA_sv1"	65964.5744423699
"dMPALN_sv1"	73067.9037688889
"dMPASN_sv1"	45535.3104993353
"dMPAR_sv1"	58039.5629132547
"dA_sv1"	81533.3711290754
"dBPC_sv1"	68865.10909237
"dBPR_sv1"	49071.8203239505
"dBPAR_sv1"	72192.2901716346
"dCL_sv1"	91340.3765597602
"dCi_sv1"	78350.0022246615
"dCMBD_sv1"	45342.6831686756
"dCMX_sv1"	41325.1975550727
"dCMY_sv1"	119105.54199444
"dCo_sv1"	49577.7780010872
"dCHA_sv1"	73184.8696018727
"dCHC_sv1"	75871.3534863243
"dE_sv1"	49590.3670285477
"dOEX_sv1"	53699.4400252788
"dOEY_sv1"	91889.0680330945
"dMECD_sv1"	80424.4305766161
"dMARA_sv1"	79156.5072658845
"dOSA_sv1"	83240.0884305713
"dR_sv1"	63269.3892885606
"dSC_sv1"	43382.2288141062
"dAZRM_sv1"	76847.8985193657
"dNZRM_sv1"	76854.4188857333
"dMPALA_sv2"	100408.278058631
"dMPASA_sv2"	67409.9892976828
"dMPALN_sv2"	64452.7832919879
"dMPASN_sv2"	52808.5283392805
"dMPAR_sv2"	59624.189626795
"dA_sv2"	62798.5138588637
"dBPC_sv2"	54295.7478886311
"dBPR_sv2"	47551.147181945
"dBPAR_sv2"	54988.0441387497
"dCL_sv2"	94157.2135507633
"dCi_sv2"	36337.1256748149
"dCMBD_sv2"	55150.6675156016
"dCMX_sv2"	44038.5963640356
"dCMY_sv2"	119152.230474371
"dCo_sv2"	52649.6534143757
"dCHA_sv2"	61569.6928352581
"dCHC_sv2"	79989.9374730862
"dE_sv2"	54825.5969641828
"dOEX_sv2"	47662.0635123699
"dOEY_sv2"	97429.6513159555
"dMECD_sv2"	81925.6308178292
"dMARA_sv2"	60762.4430275757
"dOSA_sv2"	76246.0408202534
"dR_sv2"	40218.4023175134
"dSC_sv2"	34406.3719249218
"dAZRM_sv2"	69052.2886847994
"dNZRM_sv2"	59330.288655146
"dMPALAt"	122722.723953407
"dMPASAt"	69235.44955186
"dMPALNt"	44730.7181528945
"dMPASNt"	40660.3251959448
"dMPARt"	40328.4329955308
"dAt"	83607.9004388227
"dBPCt"	58741.4946783945
"dBPRt"	52589.1367927721
"dBPARt"	72489.4174858855
"dCLt"	75687.5403084117
"dCit"	52913.6992709752
"dCMBDt"	57960.0730765266
"dCMXt"	47560.8626553748
"dCMYt"	46221.3456020595
"dCot"	55757.298075219
"dCHAt"	68804.9002794734
"dCHCt"	70497.1610118788
"dEt"	41376.9071525428
"dOEXt"	51010.9063209956
"dOEYt"	55782.740967476
"dMECDt"	77286.3521601014
"dMARAt"	63102.5890101929
"dOSAt"	90752.0072387923
"dRt"	48049.0931343812
"dSCt"	40750.3335596367
"dAZRMt"	98218.2944050797
"dNZRMt"	42583.5550895351
