iMPALA	iMPASA	iMPALN	iMPASN	iMPAR	iA	iBPC	iBPR	iBPAR	iCL	iCi	iCMBD	iCMX	iCMY	iCo	iCHA	iCHC	iE	iOEX	iOEY	iMECD	iMARA	iOSA	iR	iSC	iAZRM	iNZRM	iMPALAt	iMPASAt	iMPALNt	iMPASNt	iMPARt	iAt	iBPCt	iBPRt	iBPARt	iCaLt	iCit	iCMBDt	iCMXt	iCMYt	iCot	iCHAt	iCHCt	iEt	iMECDt	iMARAt	iRt	iSCt	iAZRMt	iNZRMt	iNI	iNL	iPH	iMLI	iBM
6682950000	1559690000	0.595533	0.138987	4.2848	105933	13984	1846	0.132008	1061.19	132674	3.41732	1273.52	866.311	0.237305	446401	2712.79	0.386332	641	1050	1083.45	645239	105933	166165	14	8242630000	0.73452	1.50E+11	7205010000	0.649332	0.0311585	20.8396	480871	14148	416.257	0.0294216	2025.91	80192.7	-39.3676	1394.49	1138.98	0.4673	1029040	4642.3	0.825233	2082.22	1291630	13373.4	8	1.57E+11	0.68049	16	18	144.865	6.798625	179478.4027
1903990000	67937200	0.72101	0.0257267	28.0257	51388	4368	371.282	0.0850004	987.513	81	10.7398	1298.27	947.518	0.332656	154478	2186.98	0.866939	247	967	1017.14	189466	51388	0.127676	27	1971930000	0.746737	73936800000	3390170000	0.602697	0.027635	21.8092	350252	12342	434.901	0.0352375	1653.7	12	33.7914	1240.41	1078.99	0.302559	1157630	4217.12	0.832321	1702.27	1575950	0.000411133	12	77326900000	0.630332	15	16	139.544	7.2686	107141.9947
9259900000	460943000	1.10368	0.0549395	20.089	91597	9438	972.476	0.103038	1264.14	8	3.27818	1228.16	887.124	0.266468	343745	2789.75	0.819322	451	1262	1302.06	549047	91597	0.000698713	8	9720840000	1.15862	1.08E+11	5062000000	0.664467	0.0310089	21.4283	404034	18036	805.124	0.0446398	2074.66	688.11	-1.63837	1218.37	1362.13	0.464202	870384	4492.02	0.829606	2136.9	1234280	1.17192	29	1.14E+11	0.695476	14	17	161.871	9.859285714	156484.7081
14985700000	1403710000	0.938346	0.0878943	10.6758	126374	14080	1568.73	0.111415	1274.97	49	5.01076	1269.01	959.914	0.198975	635125	3173.05	0.686754	752	1267	1313.22	872554	126374	0.0189992	7	16389500000	1.02624	1.04E+11	3706480000	0.642584	0.0228804	28.0844	402484	12147	366.597	0.0301801	1942.61	173598	-7.76485	1162.22	1051.56	0.546458	736533	4242.52	0.867198	2000.44	1061080	74875.7	26	1.08E+11	0.665464	15	16	160.376	8.8792	181801.9996
4075540000	2185840000	0.783562	0.420249	1.86451	72120	11833	1941.48	0.164074	973.604	116202	7.41787	1296.59	983.338	0.136512	528306	2774.5	0.0910842	892	960	1005.98	633157	72120	187228	13	6261380000	1.20381	1.12E+11	7435580000	0.823425	0.0546209	15.0753	368959	31930	2763.25	0.0865408	2204.22	261425	0.898696	1277.1	1146.08	0.308065	1197660	5199.26	0.76665	2277.48	1485930	185232	22	1.20E+11	0.878046	14	16	112.219	8.015642857	121968.3812
9254700000	2030400000	1.13707	0.249462	4.55807	90217	14492	2327.92	0.160635	1316.44	2631.4	1.39641	1289.61	828.083	0.122969	733657	3313.79	0.409808	824	1311	1355.93	983843	90217	76.751	15	11285100000	1.38653	1.24E+11	4419620000	0.964321	0.0344608	27.9831	358121	17637	868.6	0.0492487	2357.4	125596	26.4418	1266.04	1218.5	0.365735	979181	5039.33	0.86675	2425.86	1405410	44047.9	11	1.28E+11	0.998782	14	16	183.378	10.4655	137772.4067
5191790000	3508430000	0.7023	0.47459	1.4798	85980	15135	2664.2	0.176029	1142.64	783.198	-10.41	1325.81	858.974	0.133406	644501	2998.94	0.0374362	824	1130	1176.13	820803	85980	7.13421	15	8700230000	1.17689	1.01E+11	36249400000	0.366946	0.131299	2.79475	525437	25473	1234.92	0.0484797	1863.05	168278	-0.837841	1409.15	1048.82	0.290691	1807550	5078.79	0.223687	1918.75	2286150	53893.4	10	1.38E+11	0.498245	14	18	145.62	10.40142857	154231.223
4570190000	2505980000	0.50837	0.278755	1.82372	94815	14126	2104.56	0.148985	1008.59	174912	-19.0388	1366.79	974.922	0.16821	563669	2819.03	0.0850968	714	1004	1038.73	706212	94815	322671	19	7076160000	0.787125	1.85E+11	6676950000	0.738679	0.026713	27.6524	499951	12996	337.825	0.0259946	2204.11	41616.7	2.96216	1256.59	968.498	0.399086	1252740	5116.86	0.865268	2247.31	1775210	3464.25	5	1.91E+11	0.765392	12	16	123.517	10.29308333	163881.0733
13173100000	3198100000	1.27677	0.309969	4.11903	101575	17906	3156.53	0.176283	1422.98	192748	-6.92016	1317.08	747.158	0.106611	952759	3684.03	0.371247	925	1419	1465.59	1251090	101575	365759	15	16371200000	1.58674	2.67E+11	37389500000	0.43247	0.0606163	7.13456	785381	29250	1089.36	0.0372431	2249.09	197590	-21.5925	1433.76	996.85	0.371415	2114560	5757.1	0.56872	2316.57	2679680	49710.4	14	3.04E+11	0.493087	17	19	169.677	9.981	200519.2173
6040150000	943808000	0.615657	0.0961999	6.39977	99050	11435	1320.13	0.115447	1160.91	52198.4	7.02405	1305.47	917.258	0.238185	415853	2724.33	0.532493	510	1156	1195.53	564369	99050	27508	7	6983960000	0.711857	86892700000	4887160000	0.520403	0.0292693	17.7798	408622	18567	843.649	0.0454381	1837.82	1225.54	19.425	1345.3	1123.23	0.437437	934128	4244.92	0.798347	1891.53	1298990	3.67563	23	91779800000	0.549672	18	20	153.591	8.532833333	159780.5978
